invoice_id,unit_price,quantity,tax_5%,total,cogs,gross_margin_percentage,gross_income,rating,date,week_start,week_of_year,day_of_week,month_number,month_name,quarter,year,season,time,day_part,branch,city,customer_type,gender,payment,product_line
149-71-6266,78.07,9.0,35.1315,737.7615,702.63,4.761904762,35.1315,4.5,2019-01-28,2019-01-28,5,1,1,January,1,2019,winter,12:43:00,noon,B,Mandalay,Member,Male,Cash,Sports and travel
640-49-2076,83.78,8.0,33.512,703.752,670.24,4.761904762,33.512,5.1,2019-01-10,2019-01-07,2,4,1,January,1,2019,winter,14:49:00,noon,B,Mandalay,Normal,Male,Cash,Sports and travel
595-11-5460,96.58,2.0,9.658,202.818,193.16,4.761904762,9.658,5.1,2019-03-15,2019-03-11,11,5,3,March,1,2019,spring,10:12:00,morning,A,Yangon,Normal,Male,Credit card,Health and beauty
183-56-6882,99.42,4.0,19.884,417.564,397.68,4.761904762,19.884,7.5,2019-02-06,2019-02-04,6,3,2,February,1,2019,winter,10:42:00,morning,C,Naypyitaw,Member,Female,Ewallet,Food and beverages
232-16-2483,68.12,1.0,3.406,71.526,68.12,4.761904762,3.406,6.8,2019-01-07,2019-01-07,2,1,1,January,1,2019,winter,12:28:00,noon,C,Naypyitaw,Member,Female,Ewallet,Sports and travel
129-29-8530,62.62,5.0,15.655,328.755,313.1,4.761904762,15.655,7.0,2019-03-10,2019-03-04,10,7,3,March,1,2019,spring,19:15:00,evening,A,Yangon,Member,Male,Ewallet,Sports and travel
272-65-1806,60.88,9.0,27.396,575.316,547.92,4.761904762,27.396,4.7,2019-01-15,2019-01-14,3,2,1,January,1,2019,winter,17:17:00,evening,A,Yangon,Normal,Female,Ewallet,Electronic accessories
333-73-7901,54.92,8.0,21.968,461.328,439.36,4.761904762,21.968,7.6,2019-03-23,2019-03-18,12,6,3,March,1,2019,spring,13:24:00,noon,C,Naypyitaw,Normal,Female,Ewallet,Health and beauty
777-82-7220,30.12,8.0,12.048,253.008,240.96,4.761904762,12.048,7.7,2019-03-03,2019-02-25,9,7,3,March,1,2019,spring,13:01:00,noon,B,Mandalay,Member,Male,Cash,Home and lifestyle
280-35-5823,86.72,1.0,4.336,91.056,86.72,4.761904762,4.336,7.9,2019-01-17,2019-01-14,3,4,1,January,1,2019,winter,18:45:00,evening,B,Mandalay,Member,Female,Ewallet,Home and lifestyle
554-53-8700,56.11,2.0,5.611,117.831,112.22,4.761904762,5.611,6.3,2019-02-02,2019-01-28,5,6,2,February,1,2019,winter,10:11:00,morning,C,Naypyitaw,Member,Male,Cash,Home and lifestyle
354-25-5821,69.12,6.0,20.736,435.456,414.72,4.761904762,20.736,5.6,2019-02-08,2019-02-04,6,5,2,February,1,2019,winter,13:03:00,noon,B,Mandalay,Member,Female,Cash,Sports and travel
228-96-1411,98.7,8.0,39.48,829.08,789.6,4.761904762,39.48,7.6,2019-03-04,2019-03-04,10,1,3,March,1,2019,spring,20:39:00,evening,C,Naypyitaw,Member,Female,Cash,Food and beverages
617-15-4209,15.37,2.0,1.537,32.277,30.74,4.761904762,1.537,7.2,2019-03-16,2019-03-11,11,6,3,March,1,2019,spring,19:47:00,evening,C,Naypyitaw,Member,Male,Cash,Health and beauty
132-32-9879,93.96,4.0,18.792,394.632,375.84,4.761904762,18.792,9.5,2019-03-09,2019-03-04,10,6,3,March,1,2019,spring,18:00:00,evening,B,Mandalay,Member,Female,Cash,Electronic accessories
370-41-7321,56.69,9.0,25.5105,535.7205,510.21,4.761904762,25.5105,8.4,2019-02-27,2019-02-25,9,3,2,February,1,2019,winter,17:24:00,evening,B,Mandalay,Member,Male,Credit card,Health and beauty
727-46-3608,20.01,9.0,9.0045,189.0945,180.09,4.761904762,9.0045,4.1,2019-02-06,2019-02-04,6,3,2,February,1,2019,winter,15:47:00,noon,B,Mandalay,Member,Female,Ewallet,Food and beverages
669-54-1719,18.93,6.0,5.679,119.259,113.58,4.761904762,5.679,8.1,2019-02-10,2019-02-04,6,7,2,February,1,2019,winter,12:45:00,noon,B,Mandalay,Member,Male,Credit card,Electronic accessories
574-22-5561,82.63,10.0,41.315,867.615,826.3,4.761904762,41.315,7.9,2019-03-19,2019-03-18,12,2,3,March,1,2019,spring,17:08:00,evening,C,Naypyitaw,Member,Female,Ewallet,Fashion accessories
326-78-5178,91.4,7.0,31.99,671.79,639.8,4.761904762,31.99,9.5,2019-02-03,2019-01-28,5,7,2,February,1,2019,winter,10:19:00,morning,C,Naypyitaw,Member,Male,Cash,Food and beverages
162-48-8011,44.59,5.0,11.1475,234.0975,222.95,4.761904762,11.1475,8.5,2019-02-10,2019-02-04,6,7,2,February,1,2019,winter,15:10:00,noon,A,Yangon,Member,Female,Cash,Food and beverages
616-24-2851,17.87,4.0,3.574,75.054,71.48,4.761904762,3.574,6.5,2019-03-22,2019-03-18,12,5,3,March,1,2019,spring,14:42:00,noon,B,Mandalay,Member,Female,Ewallet,Fashion accessories
778-71-5554,15.43,1.0,0.7715,16.2015,15.43,4.761904762,0.7715,6.1,2019-01-25,2019-01-21,4,5,1,January,1,2019,winter,15:46:00,noon,C,Naypyitaw,Member,Male,Credit card,Fashion accessories
242-55-6721,16.16,2.0,1.616,33.936,32.32,4.761904762,1.616,6.5,2019-03-07,2019-03-04,10,4,3,March,1,2019,spring,11:49:00,noon,B,Mandalay,Normal,Male,Ewallet,Home and lifestyle
399-46-5918,85.98,8.0,34.392,722.232,687.84,4.761904762,34.392,8.2,2019-02-28,2019-02-25,9,4,2,February,1,2019,winter,19:01:00,evening,C,Naypyitaw,Normal,Female,Cash,Electronic accessories
106-35-6779,44.34,2.0,4.434,93.114,88.68,4.761904762,4.434,5.8,2019-03-27,2019-03-25,13,3,3,March,1,2019,spring,11:26:00,noon,A,Yangon,Member,Male,Cash,Home and lifestyle
635-40-6220,89.6,8.0,35.84,752.64,716.8,4.761904762,35.84,6.6,2019-02-07,2019-02-04,6,4,2,February,1,2019,winter,11:28:00,noon,A,Yangon,Normal,Male,Ewallet,Health and beauty
817-48-8732,72.35,10.0,36.175,759.675,723.5,4.761904762,36.175,5.4,2019-01-20,2019-01-14,3,7,1,January,1,2019,winter,15:55:00,noon,A,Yangon,Member,Female,Cash,Home and lifestyle
120-06-4233,30.61,6.0,9.183,192.843,183.66,4.761904762,9.183,9.3,2019-03-12,2019-03-11,11,2,3,March,1,2019,spring,20:36:00,evening,C,Naypyitaw,Normal,Male,Cash,Electronic accessories
285-68-5083,24.74,3.0,3.711,77.931,74.22,4.761904762,3.711,10.0,2019-02-15,2019-02-11,7,5,2,February,1,2019,winter,17:47:00,evening,C,Naypyitaw,Member,Female,Credit card,Sports and travel
803-83-5989,55.73,6.0,16.719,351.099,334.38,4.761904762,16.719,7.0,2019-02-24,2019-02-18,8,7,2,February,1,2019,winter,10:55:00,morning,C,Naypyitaw,Normal,Male,Ewallet,Home and lifestyle
347-34-2234,55.07,9.0,24.7815,520.4115,495.63,4.761904762,24.7815,10.0,2019-02-03,2019-01-28,5,7,2,February,1,2019,winter,13:40:00,noon,B,Mandalay,Member,Female,Ewallet,Sports and travel
199-75-8169,15.81,10.0,7.905,166.005,158.1,4.761904762,7.905,8.6,2019-03-06,2019-03-04,10,3,3,March,1,2019,spring,12:27:00,noon,A,Yangon,Member,Male,Credit card,Sports and travel
853-23-2453,75.74,4.0,15.148,318.108,302.96,4.761904762,15.148,7.6,2019-02-14,2019-02-11,7,4,2,February,1,2019,winter,14:35:00,noon,B,Mandalay,Member,Male,Cash,Health and beauty
877-22-3308,15.87,10.0,7.935,166.635,158.7,4.761904762,7.935,5.8,2019-03-13,2019-03-11,11,3,3,March,1,2019,spring,16:40:00,noon,A,Yangon,Member,Male,Cash,Health and beauty
838-78-4295,33.47,2.0,3.347,70.287,66.94,4.761904762,3.347,6.7,2019-02-10,2019-02-04,6,7,2,February,1,2019,winter,15:43:00,noon,C,Naypyitaw,Normal,Female,Ewallet,Health and beauty
109-28-2512,97.61,6.0,29.283,614.943,585.66,4.761904762,29.283,9.9,2019-01-07,2019-01-07,2,1,1,January,1,2019,winter,15:01:00,noon,B,Mandalay,Member,Female,Ewallet,Fashion accessories
232-11-3025,78.77,10.0,39.385,827.085,787.7,4.761904762,39.385,6.4,2019-01-24,2019-01-21,4,4,1,January,1,2019,winter,10:04:00,morning,A,Yangon,Normal,Male,Cash,Sports and travel
382-03-4532,18.33,1.0,0.9165,19.2465,18.33,4.761904762,0.9165,4.3,2019-02-02,2019-01-28,5,6,2,February,1,2019,winter,18:50:00,evening,A,Yangon,Member,Female,Cash,Health and beauty
393-65-2792,89.48,10.0,44.74,939.54,894.8,4.761904762,44.74,9.6,2019-01-06,2018-12-31,1,7,1,January,1,2019,winter,12:46:00,noon,C,Naypyitaw,Normal,Male,Credit card,Food and beverages
796-12-2025,62.12,10.0,31.06,652.26,621.2,4.761904762,31.06,5.9,2019-02-11,2019-02-11,7,1,2,February,1,2019,winter,16:19:00,noon,C,Naypyitaw,Normal,Male,Cash,Fashion accessories
510-95-6347,48.52,3.0,7.278,152.838,145.56,4.761904762,7.278,4.0,2019-03-05,2019-03-04,10,2,3,March,1,2019,spring,18:17:00,evening,B,Mandalay,Member,Female,Ewallet,Food and beverages
841-35-6630,75.91,6.0,22.773,478.233,455.46,4.761904762,22.773,8.7,2019-03-09,2019-03-04,10,6,3,March,1,2019,spring,18:21:00,evening,C,Naypyitaw,Normal,Female,Cash,Electronic accessories
287-21-9091,74.67,9.0,33.6015,705.6315,672.03,4.761904762,33.6015,9.4,2019-01-22,2019-01-21,4,2,1,January,1,2019,winter,10:55:00,morning,A,Yangon,Normal,Male,Ewallet,Home and lifestyle
732-94-0499,41.65,10.0,20.825,437.325,416.5,4.761904762,20.825,5.4,2019-01-13,2019-01-07,2,7,1,January,1,2019,winter,17:04:00,evening,C,Naypyitaw,Normal,Female,Credit card,Electronic accessories
263-10-3913,49.04,9.0,22.068,463.428,441.36,4.761904762,22.068,8.6,2019-01-09,2019-01-07,2,3,1,January,1,2019,winter,14:20:00,noon,C,Naypyitaw,Member,Male,Credit card,Fashion accessories
381-20-0914,20.01,9.0,9.0045,189.0945,180.09,4.761904762,9.0045,5.7,2019-01-12,2019-01-07,2,6,1,January,1,2019,winter,15:48:00,noon,A,Yangon,Member,Female,Credit card,Fashion accessories
829-49-1914,78.31,10.0,39.155,822.255,783.1,4.761904762,39.155,6.6,2019-03-05,2019-03-04,10,2,3,March,1,2019,spring,16:24:00,noon,C,Naypyitaw,Member,Female,Ewallet,Food and beverages
756-01-7507,20.38,5.0,5.095,106.995,101.9,4.761904762,5.095,6.0,2019-01-22,2019-01-21,4,2,1,January,1,2019,winter,18:56:00,evening,C,Naypyitaw,Normal,Female,Cash,Health and beauty
870-72-4431,99.19,6.0,29.757,624.897,595.14,4.761904762,29.757,5.5,2019-01-21,2019-01-21,4,1,1,January,1,2019,winter,14:42:00,noon,C,Naypyitaw,Normal,Female,Credit card,Health and beauty
847-38-7188,96.68,3.0,14.502,304.542,290.04,4.761904762,14.502,6.4,2019-01-26,2019-01-21,4,6,1,January,1,2019,winter,19:56:00,evening,B,Mandalay,Normal,Female,Ewallet,Food and beverages
480-63-2856,19.25,8.0,7.7,161.7,154.0,4.761904762,7.7,6.6,2019-01-23,2019-01-21,4,3,1,January,1,2019,winter,18:37:00,evening,C,Naypyitaw,Normal,Male,Ewallet,Food and beverages
787-56-0757,80.36,4.0,16.072,337.512,321.44,4.761904762,16.072,8.3,2019-02-23,2019-02-18,8,6,2,February,1,2019,winter,18:45:00,evening,C,Naypyitaw,Member,Female,Credit card,Food and beverages
360-39-5055,48.91,5.0,12.2275,256.7775,244.55,4.761904762,12.2275,6.6,2019-03-09,2019-03-04,10,6,3,March,1,2019,spring,10:17:00,morning,C,Naypyitaw,Member,Male,Cash,Sports and travel
730-50-9884,83.06,7.0,29.071,610.491,581.42,4.761904762,29.071,4.0,2019-03-05,2019-03-04,10,2,3,March,1,2019,spring,14:31:00,noon,C,Naypyitaw,Normal,Female,Ewallet,Sports and travel
362-58-8315,76.52,5.0,19.13,401.73,382.6,4.761904762,19.13,9.9,2019-03-25,2019-03-25,13,1,3,March,1,2019,spring,10:23:00,morning,C,Naypyitaw,Normal,Male,Cash,Fashion accessories
633-44-8566,49.38,7.0,17.283,362.943,345.66,4.761904762,17.283,7.3,2019-03-27,2019-03-25,13,3,3,March,1,2019,spring,20:35:00,evening,A,Yangon,Member,Male,Credit card,Food and beverages
504-35-8843,42.47,1.0,2.1235,44.5935,42.47,4.761904762,2.1235,5.7,2019-01-02,2018-12-31,1,3,1,January,1,2019,winter,16:57:00,noon,A,Yangon,Normal,Male,Cash,Sports and travel
318-68-5053,76.99,6.0,23.097,485.037,461.94,4.761904762,23.097,6.1,2019-02-27,2019-02-25,9,3,2,February,1,2019,winter,17:55:00,evening,B,Mandalay,Normal,Female,Cash,Health and beauty
565-80-5980,47.38,4.0,9.476,198.996,189.52,4.761904762,9.476,7.1,2019-01-23,2019-01-21,4,3,1,January,1,2019,winter,10:25:00,morning,C,Naypyitaw,Member,Female,Cash,Home and lifestyle
225-32-0908,44.86,10.0,22.43,471.03,448.6,4.761904762,22.43,8.2,2019-01-26,2019-01-21,4,6,1,January,1,2019,winter,19:54:00,evening,C,Naypyitaw,Normal,Female,Ewallet,Sports and travel
873-51-0671,21.98,7.0,7.693,161.553,153.86,4.761904762,7.693,5.1,2019-01-10,2019-01-07,2,4,1,January,1,2019,winter,16:42:00,noon,A,Yangon,Member,Female,Ewallet,Sports and travel
152-08-9985,64.36,9.0,28.962,608.202,579.24,4.761904762,28.962,8.6,2019-03-12,2019-03-11,11,2,3,March,1,2019,spring,12:09:00,noon,B,Mandalay,Member,Male,Credit card,Health and beauty
512-91-0811,89.75,1.0,4.4875,94.2375,89.75,4.761904762,4.4875,6.6,2019-02-06,2019-02-04,6,3,2,February,1,2019,winter,20:05:00,evening,C,Naypyitaw,Normal,Male,Credit card,Health and beauty
594-34-4444,97.16,1.0,4.858,102.018,97.16,4.761904762,4.858,7.2,2019-03-08,2019-03-04,10,5,3,March,1,2019,spring,20:38:00,evening,A,Yangon,Normal,Male,Ewallet,Electronic accessories
766-85-7061,87.87,10.0,43.935,922.635,878.7,4.761904762,43.935,5.1,2019-03-29,2019-03-25,13,5,3,March,1,2019,spring,10:25:00,morning,B,Mandalay,Normal,Male,Ewallet,Health and beauty
871-39-9221,12.45,6.0,3.735,78.435,74.7,4.761904762,3.735,4.1,2019-02-09,2019-02-04,6,6,2,February,1,2019,winter,13:11:00,noon,C,Naypyitaw,Normal,Female,Cash,Electronic accessories
865-92-6136,52.75,3.0,7.9125,166.1625,158.25,4.761904762,7.9125,9.3,2019-03-23,2019-03-18,12,6,3,March,1,2019,spring,10:16:00,morning,A,Yangon,Normal,Male,Ewallet,Food and beverages
733-01-9107,82.7,6.0,24.81,521.01,496.2,4.761904762,24.81,7.4,2019-03-05,2019-03-04,10,2,3,March,1,2019,spring,18:14:00,evening,B,Mandalay,Normal,Male,Cash,Home and lifestyle
163-56-7055,48.71,1.0,2.4355,51.1455,48.71,4.761904762,2.4355,4.1,2019-03-26,2019-03-25,13,2,3,March,1,2019,spring,19:20:00,evening,C,Naypyitaw,Member,Male,Cash,Fashion accessories
189-98-2939,78.55,9.0,35.3475,742.2975,706.95,4.761904762,35.3475,7.2,2019-03-01,2019-02-25,9,5,3,March,1,2019,spring,13:22:00,noon,C,Naypyitaw,Normal,Male,Cash,Fashion accessories
551-21-3069,23.07,9.0,10.3815,218.0115,207.63,4.761904762,10.3815,4.9,2019-02-01,2019-01-28,5,5,2,February,1,2019,winter,11:27:00,noon,C,Naypyitaw,Normal,Female,Cash,Electronic accessories
212-62-1842,58.26,6.0,17.478,367.038,349.56,4.761904762,17.478,9.9,2019-03-28,2019-03-25,13,4,3,March,1,2019,spring,16:44:00,noon,A,Yangon,Normal,Male,Cash,Food and beverages
716-39-1409,30.35,7.0,10.6225,223.0725,212.45,4.761904762,10.6225,8.0,2019-03-19,2019-03-18,12,2,3,March,1,2019,spring,18:19:00,evening,B,Mandalay,Normal,Male,Cash,Health and beauty
704-48-3927,88.67,10.0,44.335,931.035,886.7,4.761904762,44.335,7.3,2019-01-12,2019-01-07,2,6,1,January,1,2019,winter,14:50:00,noon,A,Yangon,Member,Male,Ewallet,Electronic accessories
628-34-3388,27.38,6.0,8.214,172.494,164.28,4.761904762,8.214,7.9,2019-01-05,2018-12-31,1,6,1,January,1,2019,winter,20:54:00,evening,C,Naypyitaw,Normal,Male,Credit card,Fashion accessories
630-74-5166,62.13,6.0,18.639,391.419,372.78,4.761904762,18.639,7.4,2019-03-22,2019-03-18,12,5,3,March,1,2019,spring,20:19:00,evening,A,Yangon,Normal,Male,Cash,Sports and travel
588-01-7461,33.98,9.0,15.291,321.111,305.82,4.761904762,15.291,4.2,2019-03-24,2019-03-18,12,7,3,March,1,2019,spring,10:43:00,morning,C,Naypyitaw,Normal,Female,Cash,Food and beverages
861-77-0145,81.97,10.0,40.985,860.685,819.7,4.761904762,40.985,9.2,2019-03-03,2019-02-25,9,7,3,March,1,2019,spring,14:30:00,noon,C,Naypyitaw,Member,Male,Cash,Electronic accessories
479-26-8945,16.49,2.0,1.649,34.629,32.98,4.761904762,1.649,4.6,2019-02-05,2019-02-04,6,2,2,February,1,2019,winter,11:32:00,noon,B,Mandalay,Member,Female,Ewallet,Sports and travel
210-67-5886,98.21,3.0,14.7315,309.3615,294.63,4.761904762,14.7315,7.8,2019-02-05,2019-02-04,6,2,2,February,1,2019,winter,10:41:00,morning,C,Naypyitaw,Member,Female,Credit card,Health and beauty
227-78-1148,72.84,7.0,25.494,535.374,509.88,4.761904762,25.494,8.4,2019-02-15,2019-02-11,7,5,2,February,1,2019,winter,12:44:00,noon,B,Mandalay,Normal,Female,Cash,Fashion accessories
645-44-1170,58.07,9.0,26.1315,548.7615,522.63,4.761904762,26.1315,4.3,2019-01-19,2019-01-14,3,6,1,January,1,2019,winter,20:07:00,evening,A,Yangon,Member,Male,Ewallet,Home and lifestyle
237-01-6122,80.79,9.0,36.3555,763.4655,727.11,4.761904762,36.3555,9.5,2019-02-01,2019-01-28,5,5,2,February,1,2019,winter,20:31:00,evening,C,Naypyitaw,Member,Female,Credit card,Home and lifestyle
225-98-1496,27.02,3.0,4.053,85.113,81.06,4.761904762,4.053,7.1,2019-03-02,2019-02-25,9,6,3,March,1,2019,spring,13:01:00,noon,C,Naypyitaw,Normal,Female,Credit card,Fashion accessories
291-32-1427,21.94,5.0,5.485,115.185,109.7,4.761904762,5.485,5.3,2019-03-05,2019-03-04,10,2,3,March,1,2019,spring,12:29:00,noon,B,Mandalay,Member,Male,Ewallet,Fashion accessories
659-65-8956,51.36,1.0,2.568,53.928,51.36,4.761904762,2.568,5.2,2019-01-16,2019-01-14,3,3,1,January,1,2019,winter,15:26:00,noon,B,Mandalay,Member,Male,Ewallet,Fashion accessories
642-32-2990,10.96,10.0,5.48,115.08,109.6,4.761904762,5.48,6.0,2019-02-02,2019-01-28,5,6,2,February,1,2019,winter,20:48:00,evening,A,Yangon,Normal,Female,Ewallet,Food and beverages
378-24-2715,53.44,2.0,5.344,112.224,106.88,4.761904762,5.344,4.1,2019-01-20,2019-01-14,3,7,1,January,1,2019,winter,20:38:00,evening,B,Mandalay,Normal,Male,Ewallet,Home and lifestyle
638-60-7125,99.56,8.0,39.824,836.304,796.48,4.761904762,39.824,5.2,2019-02-14,2019-02-11,7,4,2,February,1,2019,winter,17:03:00,evening,A,Yangon,Normal,Female,Credit card,Electronic accessories
659-36-1684,57.12,7.0,19.992,419.832,399.84,4.761904762,19.992,6.5,2019-01-12,2019-01-07,2,6,1,January,1,2019,winter,12:02:00,noon,C,Naypyitaw,Member,Male,Credit card,Sports and travel
219-22-9386,99.96,9.0,44.982,944.622,899.64,4.761904762,44.982,4.2,2019-03-09,2019-03-04,10,6,3,March,1,2019,spring,17:26:00,evening,B,Mandalay,Member,Male,Credit card,Sports and travel
336-78-2147,63.91,8.0,25.564,536.844,511.28,4.761904762,25.564,4.6,2019-03-13,2019-03-11,11,3,3,March,1,2019,spring,19:52:00,evening,C,Naypyitaw,Member,Male,Credit card,Home and lifestyle
268-27-6179,56.47,8.0,22.588,474.348,451.76,4.761904762,22.588,7.3,2019-03-09,2019-03-04,10,6,3,March,1,2019,spring,14:57:00,noon,B,Mandalay,Member,Female,Ewallet,Fashion accessories
668-90-8900,93.69,7.0,32.7915,688.6215,655.83,4.761904762,32.7915,4.5,2019-03-10,2019-03-04,10,7,3,March,1,2019,spring,18:44:00,evening,A,Yangon,Normal,Female,Credit card,Home and lifestyle
870-54-3162,32.25,5.0,8.0625,169.3125,161.25,4.761904762,8.0625,9.0,2019-01-27,2019-01-21,4,7,1,January,1,2019,winter,13:26:00,noon,A,Yangon,Normal,Female,Cash,Sports and travel
